,simple,random,ppo,ddpg,sac,td3,tqc
0,-3318.1667741593105,-27504.405542118802,-29200.02176518312,-2948.149681653115,-18462.353900696133,-2939.87205835699,-5623.136426835623
1,-4083.0239955205093,-26737.680624410146,-29352.22334520717,-3588.2482675356196,-2532.6917949615795,-1422.593844692656,-4381.581696721658
2,-5186.109844289567,-35291.12631471094,-38949.128471460586,-4797.644814195568,-4795.542989349212,-4795.681625343739,-8111.484060268642
3,-5775.004275582624,-35064.78987969171,-37748.24046352507,-3883.961315281903,-19479.599137623212,-1901.7886258498445,-5195.157714641255
4,-5842.690145541151,-40100.65736595638,-44143.21833252629,-4671.015824518899,-4662.420216147097,-4662.420216147097,-7968.354998536134
5,-33194.52216197888,-57869.59460741166,-45096.184159815224,-33306.827514540346,-33326.98697186175,-33300.069568290346,-33365.42833357749
6,-5494.786283076769,-33876.92262022424,-36962.116469560824,-4117.008226333121,-4114.570875326268,-4111.033292126576,-6966.330088129831
7,-4066.7269204327768,-31923.155259551208,-34786.24520521794,-3439.5225015267765,-3437.763513128313,-3436.5559876428188,-7840.855451280769
8,-3345.838904425357,-27871.343733134345,-29285.61424879673,-2989.534953281292,-20262.48959991856,-2986.170508910982,-5558.460413006225
9,-5589.520300015247,-35878.69710263904,-41000.2926768043,-4714.7309442753685,-4630.125892158648,-4630.971196333574,-6921.699214806592
10,-4792.636790874141,-33530.36809541563,-35843.02742617857,-5435.169623732446,-3327.856213402445,-3327.856213402445,-6536.055195852437
11,-35313.16278213041,-58175.68577314078,-79036.94898830383,-35449.43702752162,-35457.31053350549,-35440.95875002162,-35341.79224678603
12,-31943.25690086888,-37396.122682524016,-35998.51174884131,-29706.93763069903,-29806.708496183546,-29702.749429787607,-29800.556745784732
13,-31907.185079094295,-56189.60716244415,-63916.66571416632,-29656.994310100323,-29829.131758873173,-29650.02580525753,-29794.213778553578
14,-4076.8337892580153,-27834.370902521572,-30195.581832044478,-3949.7730019917967,-3169.92416444511,-3160.567674814377,-5261.803811524741
15,-4115.232571387581,-27363.068419406158,-31095.787022368044,-3276.642020875126,-3186.2259336835195,-3169.7998901451256,-5801.746941596506
16,-3357.415017375978,-26721.015432752116,-28693.26566904738,-3767.0948367742794,-12258.73831682008,-1290.3515606635974,-4820.202193964868
17,-5753.113146607191,-32633.114834923574,-35505.21411901687,-2445.3548611199485,-18388.336183564657,-1884.7301713076617,-5018.357249886474
